"分類","メモ","コマンド","表示名","いまの区分","高互換","止めるまで続く","歩ける","小道具","相手","車","成人向け","効果","手がかり","Dict","Anim"
"","","/e addict","Addict","ふつうの動作","","○","","","","","","","","anim@scripted@island@special_peds@dave@hs4_dave_stage3_ig7","base"
"","","/e adjust","Adjust","ふつうの動作","○","","○","","","","","","","missmic4","michael_tux_fidget"
"","","/e adjustbag","Firefighter Adjust Tank / Bag","物を持つ","","","○","","","","","","","amb@world_human_hiker_standing@male@idle_a","idle_b"
"","","/e adjustpanel","Firefighter Pump PSI","物を持つ","","","○","","","","","","","anim@scripted@heist@ig9_control_tower@male@","loop"
"","","/e adjusttie","Adjust Tie","ふつうの動作","○","","○","","","","","","","clothingtie","try_tie_positive_a"
"","","/mood Aiming","Aiming","表情","","","","","","","","","aiming","mood_aiming_1",""
"","","/e airforce01","Airforce - At Ease","ふつうの動作","","○","","","","","","","","airforce@at_ease","base"
"","","/e airforce02","Airforce - Attention","ふつうの動作","","○","","","","","","","","airforce@attention","base"
"","","/e airforce03","Airforce - Parade Rest","ふつうの動作","","○","","","","","","","","airforce@parade_rest","base"
"","","/e airforce04","Airforce - Salute","ふつうの動作","","○","","","","","","","salute","airforce@salute","base"
"","","/e airguitar","Air Guitar","ふつうの動作","○","","","","","","","","guitar","anim@mp_player_intcelebrationfemale@air_guitar","air_guitar"
"","","/e airplane","Air Plane","ふつうの動作","○","","○","","","","","","","missfbi1","ledge_loop"
"","","/e airportbag","Airport Bag","物を持つ","","","○","prop_suitcase_01c","","","","","","anim@heists@narcotics@trash","idle"
"","","/e airportbag2","Airport Bag 2 - Phone","物を持つ","","","○","prop_suitcase_03","","","","○","phone","suitcase_phone@dark","suitcase_phone_clip"
"","","/e airportbag3","Airport Bag 3 - Pose","物を持つ","","○","","prop_suitcase_03","","","","","","chocoholic@single63","single63_clip"
"","","/e airsynth","Air Synth","ふつうの動作","○","","","","","","","","","anim@mp_player_intcelebrationfemale@air_synth","air_synth"
"","","/walk Alien","Alien","歩き方","○","","","","","","","","","move_m@alien",""
"","","/mood Angry","Angry","表情","","","","","","","","","","mood_angry_1",""
"","","/e annoyed","Annoyed","ふつうの動作","","○","","","","","","","","missdocksshowoffcar@idle_a","idle_b_5"
"","","/e aphroditepose","Aphrodite Pose","ふつうの動作","","○","","","","","","","","aphrodite1@corbs","aphrodite1_clip"
"","","/e aphroditepose2","Aphrodite Pose 2","ふつうの動作","","○","","","","","","","","aphrodite2@corbs","aphrodite2_clip"
"","","/e aphroditepose3","Aphrodite Pose 3","ふつうの動作","","○","","","","","","","","aphrodite3@corbs","aphrodite3_clip"
